question,answer,book,chapter,paragraph
Is Vishama Agni associated with an imbalance of the Vata dosha?,Vishama Agni Influenced by Vata,Ashtanga Hridaya,1,36
What is Samsarga and Sannipata in terms of Ayurvedas Dosha imbalance?,"The increase, decrease of individual Doshas, or imbalance of couple of these Doshas is called asSamsarga. And imbalance of all the three Doshas together is called as Sannipata.",Ashtanga Hridaya,1,58
What symptoms might a person with a Vata body type experience if they are exposed to dry cold weather?,"If a Vata body type person exposes himself to dry cold weather, his drynessand in turn Vata will increase, leading to dry skin",Ashtanga Hridaya,1,68
"question What symptoms does the wind cause according to Ayurveda?, answer t tatrdy mruta ghnanti traya tiktdaya kapham kaya tikta madhur pittamanya tu kurvate",tatrdy mruta ghnanti traya tiktdaya kapham kaya tikta madhur pittamanya tu kurvate,Ashtanga Hridaya,1,73
What foods or tastes increase the Pitta dosha?,"Sour, salt and pungent tastes increase Pitta.",Ashtanga Hridaya,1,74
What is the definition of health and disease according to Ayurveda?,Definition of health and disease rogastu doavaiamya doa smyam arogat Imbalance in Tridosha is disease,Ashtanga Hridaya,1,87
"question What are the two types of diseases according to Ayurveda, as mentioned in the text?, answer Types of disease Nija roga Disease caused due to imbalance in internal factors",Types of disease Nija roga Disease caused due to imbalance in internal factors,Ashtanga Hridaya,1,88
Can excessive consumption of hot foods cause gastritis?,"For example, eatingexcessive hot substances, leading to gastritis.Agantu Roga Disease caused due to external factors",Ashtanga Hridaya,1,88
What is the treatment known as Shamana that helps bring the Doshas back to normalcy and is useful during the early stages of diseases?,"Shamana Palliative treatment which brings the Dosha to normalcy, useful in initial stagesof diseases2",Ashtanga Hridaya,1,100
"What is Shodhana, a treatment that purifies the body?",Shodhana Purification treatment which expels imbalanced Dosha out of body,Ashtanga Hridaya,1,100
"question What are the Shodhana purification and Shamana palliative treatments for Vata, Pitta, and Kapha according to Ayurveda?, answer ExamplesFor Vata Basti suppositories is the Shodhana treatment, and oil is Shamana treatment.For pitta Virechana Purgation is Shodhana and Ghee is Shamana.For Kapha Vamana emesis is Shodhana and Honey is Shamana.","ExamplesFor Vata Basti suppositories is the Shodhana treatment, and oil is Shamana treatment.For pitta Virechana Purgation is Shodhana and Ghee is Shamana.For Kapha Vamana emesis is Shodhana and Honey is Shamana.",Ashtanga Hridaya,1,101
What conditions are considered impossible to cure according to this Ayurvedic text?,"and also those which havemixture of factors enumerated in previous verses are krcchra sadhya curable with difficulty .Diseases which have features entirely opposite of curable diseases, which have stayed for longperiod of time, involving all the important tissues and vital organs, which have produced anxietyfear of death, delusion and restlessness which are presenting fatal signs and which causes lossof sense organs are impossible to cure",Ashtanga Hridaya,1,133
"question What is the treatment for the imbalanced doshas, as described in Dosopakramaniya Adhyaya?, answer Dosopakramaniya adhyaya treatment of the dosas.14",Dosopakramaniya adhyaya treatment of the dosas.14,Ashtanga Hridaya,1,143
What is the treatment for fever?,Jvara cikitsita treatment of fevers.2,Ashtanga Hridaya,1,154
What treatment is suggested for a bleeding disorder or disease?,Raktapitta cikitsita treatment of bleeding disease.3,Ashtanga Hridaya,1,154
"question What is the treatment for cough?, answer Kasa cikitsita treatment of cough.4",Kasa cikitsita treatment of cough.4,Ashtanga Hridaya,1,154
"question What is the treatment for breathlessness and hiccups?, answer SvasaHidhma cikitsita treatment of dyspnoea and hiccup.5",SvasaHidhma cikitsita treatment of dyspnoea and hiccup.5,Ashtanga Hridaya,1,154
"question What is the treatment for vomiting, heart disease, and excessive thirst?, answer ChardiHrdrogaTrsna cikitsita treatment of vomiting, heart disease and thirst.7","ChardiHrdrogaTrsna cikitsita treatment of vomiting, heart disease and thirst.7",Ashtanga Hridaya,1,154
What is the treatment for alcohol intoxication according to Ayurveda?,Madatyaya cikitsita treatment of alcoholic intoxication.,Ashtanga Hridaya,1,154
"question What is the treatment for hemorrhoids?, answer Arsas cikitsita treatment of haemorrhoids.9",Arsas cikitsita treatment of haemorrhoids.9,Ashtanga Hridaya,1,157
What is the treatment for diarrhea according to Ayurveda?,Atisara cikitsita treatment of diarrhoea.10,Ashtanga Hridaya,1,157
"question What is the treatment for a duodenal disorder, as mentioned in Ayurveda?, answer Grahani dosa cikitsita treatment of duodenal disorder.11",Grahani dosa cikitsita treatment of duodenal disorder.11,Ashtanga Hridaya,1,157
What is the treatment for retention of urine?,Mutraghata cikitsita treatment of retention of urine.12,Ashtanga Hridaya,1,157
"question What is the treatment for diabetes according to Ayurveda?, answer Prameha cikitsita treatment of diabetes.13",Prameha cikitsita treatment of diabetes.13,Ashtanga Hridaya,1,157
"question I have an issue with my scrotum, its swollen and there seems to be a lump. Is there any treatment for this?, answer Vraddhivrddhi cikitsita treatment of abscess, enlargement of the scrotum.14","Vraddhivrddhi cikitsita treatment of abscess, enlargement of the scrotum.14",Ashtanga Hridaya,1,157
"question What is the treatment for an abdominal tumor according to Ayurveda?, answer Gulma cikitsita treatment of abdominal tumour.15",Gulma cikitsita treatment of abdominal tumour.15,Ashtanga Hridaya,1,157
"question What is the treatment for an enlarged abdomen, as mentioned in Ayurveda?, answer Udara cikitsita treatment of enlargement of the abdomen.16",Udara cikitsita treatment of enlargement of the abdomen.16,Ashtanga Hridaya,1,157
"question What is the treatment for anemia?, answer Pandu roga cikitsita treatment of anaemia.17",Pandu roga cikitsita treatment of anaemia.17,Ashtanga Hridaya,1,157
"question What is the treatment for dropsy according to Ayurveda?, answer Svayathu sopha cikitsita treatment of dropsy.18",Svayathu sopha cikitsita treatment of dropsy.18,Ashtanga Hridaya,1,157
"question What is the treatment for leprosy, as per Ayurvedic texts?, answer Kustha cikitsita treatment of leprosy.20",Kustha cikitsita treatment of leprosy.20,Ashtanga Hridaya,1,157
What treatment is prescribed for both leucoderma and parasites?,Svitrakrimi cikitsita treatment of leucoderma and parasites.21,Ashtanga Hridaya,1,157
"question What is the treatment for nervous system diseases?, answer Vata vyadhi cikitsita treatment of diseases of the nervous system.22",Vata vyadhi cikitsita treatment of diseases of the nervous system.22,Ashtanga Hridaya,1,157
"question What is the treatment for diseases in children?, answer Balamaya pratisedha treatment of diseases of children.3",Balamaya pratisedha treatment of diseases of children.3,Ashtanga Hridaya,1,163
"question What is the treatment for evil spirits according to Ayurveda?, answer Balagraha pratisedha treatment of evil spirits.4",Balagraha pratisedha treatment of evil spirits.4,Ashtanga Hridaya,1,163
"question What is the treatment for insanity according to Ayurveda?, answer Unmada pratisedha treatment of insanity.7",Unmada pratisedha treatment of insanity.7,Ashtanga Hridaya,1,163
What is the treatment for epilepsy according to Ayurveda?,Apasmara pratisedha treatment of epilepsy.8,Ashtanga Hridaya,1,163
"question What is the treatment for diseases affecting my eyelids?, answer Vartma roga pratsedha treatment of diseases of eyelids.10",Vartma roga pratsedha treatment of diseases of eyelids.10,Ashtanga Hridaya,1,163
"What is the treatment for diseases affecting the fornices, sclera, and cornea?","Sandhisitasita roga pratisedha treatment of diseases of fornices, sclera and cornea.",Ashtanga Hridaya,1,163
What is the treatment for blindness according to Ayurveda?,Limgnasa pratisedha treatment of blindness.15,Ashtanga Hridaya,1,166
"question What is the treatment for diseases affecting my entire eye?, answer Sarvaksi roga pratisedha treatment of diseases of the whole eye.17",Sarvaksi roga pratisedha treatment of diseases of the whole eye.17,Ashtanga Hridaya,1,166
What is the treatment for diseases of the ear?,Karna roga pratisedha treatment of diseases of the ear.19,Ashtanga Hridaya,1,166
What is the treatment for nasal diseases?,Nasa roga pratisedha treatment of diseases of the nose.21,Ashtanga Hridaya,1,166
"question What is the treatment for mouth diseases?, answer Mukha roga pratisedha treatment of diseases of the mouth.23",Mukha roga pratisedha treatment of diseases of the mouth.23,Ashtanga Hridaya,1,166
What is the treatment for headrelated diseases?,Siro roga pratisedha treatment of diseases of the head.25,Ashtanga Hridaya,1,166
"question What is the treatment for ulcers according to Ayurveda?, answer Vrana pratisedha treatment of ulcers.26",Vrana pratisedha treatment of ulcers.26,Ashtanga Hridaya,1,166
What is the treatment for traumatic wounds as per Ayurveda?,Sadyo vrana pratisedha treatment of traumatic wounds.27,Ashtanga Hridaya,1,166
"question What is the treatment for a rectal fistula according to Ayurveda?, answer Bhagandara pratisedha treatment of rectal fistula.29",Bhagandara pratisedha treatment of rectal fistula.29,Ashtanga Hridaya,1,166
"question What is the treatment for minor diseases?, answer Ksudra roga pratisedha treatment of minor diseases.33",Ksudra roga pratisedha treatment of minor diseases.33,Ashtanga Hridaya,1,166
"question What is the knowledge related to diseases affecting the genital organs?, answer Guhya roga vijnaniya knowledge of diseases of genital organs.34",Guhya roga vijnaniya knowledge of diseases of genital organs.34,Ashtanga Hridaya,1,166
"question What is the treatment for diseases of genital organs?, answer Guhya roga pratisedha treatment of diseases of genital organs.35",Guhya roga pratisedha treatment of diseases of genital organs.35,Ashtanga Hridaya,1,166
"question What is the treatment for a snake bite?, answer Sarpa visa pratisedha treatment of snake bite poison.37",Sarpa visa pratisedha treatment of snake bite poison.37,Ashtanga Hridaya,1,166
"What is the treatment for poison from a mouse, rabid dog, or any other similar animals?","Musikaalarka visa pratisedha treatment of poison of mouse, rabid, dog etc..39",Ashtanga Hridaya,1,166
"I have been experiencing symptoms such as indigestion, vomiting, shortness of breath, cough, fever, facial paralysis, excessive thirst, ulcers in my mouth, heart disease, eye problems, issues with my head and ears. Could you help identify the condition I might be suffering from?","people suffering from indigestion,vomiting, dyspnoea, cough, fever, facial paralysis, excessive thirst, ulceration of mouth, heartdisease, diseases of eyes, head and ears.",Ashtanga Hridaya,2,11
What treatment is recommended to drain out secretions from my eyes that are caused by an excess of Kapha?,"Rasanjana aqueous extract of Berberis aristata, should be applied once in a week,to drain out Kapha secretions from the eyes.",Ashtanga Hridaya,2,16
Which conditions should I avoid consuming betel leaf due to?,"Those suffering from wounds, bleeding diseases, dryness, redness of eye, poisoning,repeated unconsciousness, intoxication and from tuberculosis should avoid betel leaf chewing.",Ashtanga Hridaya,2,20
"question What treatment is suggested to alleviate the symptoms of old age, fatigue, and poor vision?, answer , abhyangam caret nityam, sa jar ramavtah di prasda pui yu susvapna sutvakdrhyakt ira ravaapdeu ta vieea layet varjyobhyanga kaphagrasthaktasamuddhi ajribhi",", abhyangam caret nityam, sa jar ramavtah di prasda pui yu susvapna sutvakdrhyakt ira ravaapdeu ta vieea layet varjyobhyanga kaphagrasthaktasamuddhi ajribhi",Ashtanga Hridaya,2,22
"When should I avoid massage according to Ayurveda, considering my dosha imbalance?","Massage should be avoided when there is increase of Kapha in the body,soon after Shodhana Panchakarma procedure and during indigestion.",Ashtanga Hridaya,2,23
I have a disease that originates from Vata or Pitta. Should I avoid exercise?,"People with diseases originating from Vata and Pitta, children,elders, people with indigestion problem should not do exercise",Ashtanga Hridaya,2,28
What treatment is recommended after oblutions for Vata imbalance?,"So, after attending tooblutions, one should resort to Abhaynga oil massage with oils that have Vata balancingproperties",Ashtanga Hridaya,3,22
Why might I be experiencing multiple diseases?,It diminishes the digestive fire Agni and gives rise to manydiseases,Ashtanga Hridaya,3,38
"What treatments are recommended for quickly controlling Kapha, according to Ayurveda?","Hence Kapha should be controlled quickly, by resorting to strong emesis therapyVamana Panchakarma procedure, Nasya nasal medication and other therapies.Food should also be chosen to mitigate Kapha, that are easily digestible and dry moisturefree,fatfree.",Ashtanga Hridaya,3,38
"Why should I avoid using salt, pungent and sour foods, heavy physical exercises, and exposure to sunlight during this season?","Kaphadecreases day by day and Vata increases consequently, hence avoid use of salt, pungent and sourfoods, heavy physical exercises and exposure to sunlight, during this season",Ashtanga Hridaya,3,50
"I have been exposed to a lot of summer heat. Could this debilitate me further, causing my doshas to become vitiated?","It is already debilitated by summer, itundergoes further decrease and gets vitiated by the Doshas",Ashtanga Hridaya,3,73
What factors can cause an aggravation of the Doshas according to Ayurveda?,"The Doshas get aggravated by theeffect of thick clouds full of water, cold wind having snow, dirty water because of rain, warmthof the earth and sourness.",Ashtanga Hridaya,3,73
What causes many diseases according to Ayurveda?,The poor strength of digestive activity the Doshas start vitiating one another and cause manydiseases.Hence all general measures to mitigate imbalanced Doshas and to improve digestive activityshould be adopted,Ashtanga Hridaya,3,74
I have been experiencing a sudden increase in Pitta since autumn began. Could this be due to exposure to the warm rays of the sun during rainy season?,"When he gets suddenly exposed tothe warm rays of Sun, the Pitta, which has undergone increase in Varsha rainy season becomesgreatly aggravated during sharath autumn",Ashtanga Hridaya,3,85
What are the adverse effects of suppressing flatus?,Adhovata abrodha adverse effects of suppressing flatus,Ashtanga Hridaya,4,11
What health issues might occur due to continual suppression of the urge to pass gas?,"By suppression of the urge of flatus farting, on a continuous basis, one becomes prone toabdominal bloating, tumor,Udavarta bloating, gaseous distension of abdomenRuk abdominal painKlma tiredness, exhaustion without doing anythingblockage of flatus, constipation and difficulty in urinationloss of vision andloss of digestive powerdiseases related to upper part of stomach and heart",Ashtanga Hridaya,4,13
What is causing most of the issues I am experiencing?,Most of the problems explained are dueto Vata imbalance.,Ashtanga Hridaya,4,14
What are the bad effects of suppressing the urge to defecate according to Ayurveda?,Bad effects of suppressing urge to defecate Shakrut Nirodhaja Roga,Ashtanga Hridaya,4,15
What are the symptoms I might be experiencing with this condition?,"Pindikodveshta twisting pain of calf musclesPratishyaya running noseShiroruja headacheUrdhvavayu upward movement of Vata,Parikarta anal itching sensationHrudayasya Uparodhana stiffening feeling in chest regionMukhena Vit pravrutti foul breath, feces vomiting.",Ashtanga Hridaya,4,17
"What symptoms might I experience if I have Angabhanga, Ashmari, and the pain in my penis and bladder region as described?","Angabhanga body pain,Ashmari Urinary calculiPain in penis and bladder region.Diseases that are mentioned in flatus and faeces may also occur in this condition.",Ashtanga Hridaya,4,20
"What treatments are recommended for diseases caused by the suppression of flatus, feces, and urine?","To treat the diseases arising from suppression of flatus, feces and urine, the following should begiven.Varti Rectal and urethral suppositoriesAbhyanga Oil massageAvagaha tub bath, sitz bathSvedana sweating therapy, sudation therapyBastikarma rectal enemaAnnapaanam ca vidbhedhi all food that help to induce purgation should be administered.",Ashtanga Hridaya,4,25
"I have been suppressing my belching for a while now. Could this be causing anorexia, lack of interest in food, tremors, constipation, stiffness in the chest region, bloating, cough, cold, and hiccups?","Suppression of belching may causeAruchi Anorexia, lack of interest in taking foodKampa tremorsVibandha constipationHrudayo Raso stiffening sensation in chest regionAdhmana bloating, gaseous distension of abdomenKasa cough, coldHidhma hiccup",Ashtanga Hridaya,4,32
What treatments are suggested in Ayurveda to induce sneezing and regulate Vata movement?,"Teekshna Dhooma powerful herbal smoking, Anjana Collyrium Navaa Snuffing Arkavilokana seeing Sun directly for a few seconds Massage, Oleation and sudation therapies are also mentioned as treatment. All these are done to induce sneezing and to regularize Vata movement.",Ashtanga Hridaya,4,41
What could cause a decrease in my digestion power and an increase in Vata?,"Light meals, with oily substance such as ghee, which is hotwarm in nature.Note Fasting causes decrease in digestion power and increase in Vata",Ashtanga Hridaya,4,55
What symptoms might I experience if I have trouble sleeping?,"Suppression of sleep causesMoha delusionMurdha Akshi Gourava heaviness of head and eyesAlasya laziness, lassitudeJrumbhika yawningAngabhanga bodyache, myalgia",Ashtanga Hridaya,4,58
What kind of treatments are suggested for balancing the Vata dosha?,"Here,Vata balancing activitiestreatment should be taken up.",Ashtanga Hridaya,4,74
"What are the symptoms mentioned for Aruchi, Bhrama, and Gulma according to Ayurveda?","Aruchi Anorexia, lack of interest in taking foodBhrama delusionGulma Abdominal tumor, bloating",Ashtanga Hridaya,4,80
Can suppressing vomiting lead to any skin or eye issues?,"Suppression of vomiting causesVisarpa Herpes, spreading skin diseaseKotha allergic skin rashesKushta skin diseasesAkshi Roga eye disordersKandu itching sensationPandu Anemia, intial stages of liver diseasesJvara feverKasa cough, coldShwasa Asthma, COPD, wheezing, breathing difficultyHrullasa nausea vomiting sensationVyanga Pigmented patches on faceShvayathu oedema, inflammation",Ashtanga Hridaya,4,84
What are the different forms of Panchakarma treatment mentioned in Ayurveda?,Gandusha garglingDhumapana herbal smokeRooksha aahara Vamana eating dry food and inducing vomitingVyayama exerciseAsra Sruti Blood letting in case of skin diseasesVirechana purgation type of Panchakarma treatment.,Ashtanga Hridaya,4,87
Can suppressing vomiting lead to an imbalance in the Pitta?,Note Suppression of vomiting causes Pitta imbalance,Ashtanga Hridaya,4,88
What is the main objective of the treatments youve mentioned for addressing my health issue?,Hence most of the treatment above istargeted to balance or eliminate Pitta.,Ashtanga Hridaya,4,88
What health issues may arise due to suppression of ejaculation?,"Suppression of ejaculation causesSravana oozing of semenGuhya Vedana pain in groinShvayathu oedema, inflammationJvara feverHrid Vyatha cardiac pain, distressMutrasanga Obstruction to the flow of urine and difficultyAngabhanga bodyache, myalgiaVruddhi HerniaAshma stone formationShandata Impotency",Ashtanga Hridaya,4,93
What causes diseases as per Ayurveda?,"All diseases are caused due toVegodeerana initiation of urges forcefullyVegadhaaraana Suppression of naturally initiated urges.For those common diseases arising from these acts, specific treatments have been counted so far.By disturbing the nature, it is Vata that is mainly vitiated",Ashtanga Hridaya,4,105
What can happen if I do not clear out Doshas and waste products at suitable times?,One must exercise precaution to clear out Doshas and waste products at suitable times.Accumulation of such toxins could lead to their aggravation and subsequently even death mayoccur due to this.,Ashtanga Hridaya,4,111
Can the Doshas that have been balanced through fasting and digestionpromoting therapies become aggravated again?,The Doshas that are balanced out by Langhana fasting etc and Pachana digestion promotingtherapies may sometime get reaggravated soon,Ashtanga Hridaya,4,114
"What treatment should I consider after undergoing Panchakarma procedure, according to Ayurveda?","After proper Panchakarma procedure at suitable times, rejuvenation treatment Rasayana therapyshould be taken up, with suitable tonics and aphrodisiacs.",Ashtanga Hridaya,4,118
What causes traumatic diseases as per Ayurveda?,Traumatic diseases caused by external factors,Ashtanga Hridaya,4,126
What are the general guidelines for treating all types of diseases according to Ayurveda?,"Avoidance of improper activities of body, mind and speech by willful transgression of rules,control of the senses, remembering previous experiences and acting rightly,good knowledge of the habitat, season and the self,adherence to rules of good conduct and ritualsPeaceful procedures as mentioned in Atharva Veda,Worship of celestial powers Grahashanti astronomical palliative proceduresStaying away from Bhuta evil spirits, microbesRespective treatment followed as per the principles explained above, are the general guidelines totreat all types of diseases.",Ashtanga Hridaya,4,134
"question How can I get rid of accumulated Doshas that have arisen from winter?, answer The accumulated Doshas arising from winter should be expelled during Vasanta spring, question What should I do to eliminate Doshas that have built up due to summer?, answer That arising from Summer Greeshma should be expelled during Abhrkla Varsha Ritu rainy season, question How can I remove the Doshas that have accumulated due to the rainy season?, answer That arising from rainy season should be expelled during Ghnatyaya Sharad Autumn season, question What measures can help me avoid diseases caused by changes in seasons?, answer By this, people will not become victims of diseases born by the effect of the seasons.","The accumulated Doshas arising from winter should be expelled during Vasanta springThat arising from Summer Greeshma should be expelled during Abhrkla Varsha Ritu rainy season.That arising from rainy season should be expelled during Ghnatyaya Sharad Autumn seasonBy this, people will not become victims of diseases born by the effect of the seasons.",Ashtanga Hridaya,4,137
"Can dirty water mixed with mud, algae, weeds, and leaves that is not exposed to sunlight and wind, a mixture of old and fresh, thick, not easily digestible, frothy, containing worms, hot by nature, cause tingling of teeth by being very cold?","Water which is dirty, mixed with mud, algae, weeds and leaves, which is not exposed to sunlightand wind, which is a mixture of old and fresh, which is thick, not easily digestible, frothy,containing worms, hot by nature, causes tingling of teeth by being very cold, that rain waterwhich is unseasonal or though seasonal that of the first rain before the appearance of AgastyaNakshatra, that contaminated with the webs, saliva, urine, faeces of spider etc., and such otherpoisonous materials, should not be used for drinking",Ashtanga Hridaya,5,20
"Why should I avoid consuming too much or little water if I have poor digestion, abdominal tumors, anemia, enlarged abdomen, diarrhea, hemorrhoids, diseases of the duodenum, dropsy?","Water should not be consumed or consumed in very little quantity, by those suffering from poordigestive function, tumors of the abdomen, anaemia, enlargement of the abdomen, diarrhoea,haemorrhoids, diseases of the duodenum, dropsy.Excepting for Sharad autumn and Nidagha summer even healthy persons should drink lessquantity of water in all other seasons 1314",Ashtanga Hridaya,5,35
What symptoms does this treatment relieve?,"RelievesHidhama relives hiccup,Adhmana flatulence,Anila aggravation of VataShleshma aggravation of KaphaIt is ideal on the days of Panchakarma therapyNavajvara fever of recent originKasa cold, cough",Ashtanga Hridaya,5,47
"question I have been suffering from excessive thirst and an imbalance of Pitta and Vata. Can this Ayurvedic treatment I found relieve these symptoms, increase my appetite, and cleanse my urinary bladder?, answer RelievesTrushna thirst,Pittanila hara balances Pitta and Vata.Deepana increases hunger andBastishodhana cleanses urinary bladder.19","RelievesTrushna thirst,Pittanila hara balances Pitta and Vata.Deepana increases hunger andBastishodhana cleanses urinary bladder.19",Ashtanga Hridaya,5,58
What are the properties of Ushtra ksheera milk of camel that make it useful for treatment?,Ushtra ksheera milk of camel isIshat ruksha slightly dryushna hotLavana salty tasteDeepana increases digestion strengthLaghu easy to digestVatakaphaa shastam useful in Vata and KaphaKrumi relieves worm infestationShopha anti inflammatoryUdara useful in ascitesArshas haemorrhoids,Ashtanga Hridaya,5,81
"Can curd help with conditions like anorexia, chronic and recurrent fever, rhinitis, dysuria, or malabsorption syndrome?","Curd Useful inaruchau useful in anorexiaVishamaJwara chronic, recurrent feverPeenasa rhinitisMutrakruchra dysuriaGrahani malabsorption syndrome",Ashtanga Hridaya,5,102
"question What conditions can this treatment be useful for, according to Ayurveda?, answer Useful inShopha inflammatory conditionsUdara ascitesArsha hemorrhoidsGrahani malabsorption syndromeMutradosha, Mutragraha urine infection, dysuriaAruchi anorexiaPleeha splenomegalyGulma abdominal distentionGhritavyapat in indigestion caused by excess consumption of gheeGara visha chronic intoxication andPandu anemia","Useful inShopha inflammatory conditionsUdara ascitesArsha hemorrhoidsGrahani malabsorption syndromeMutradosha, Mutragraha urine infection, dysuriaAruchi anorexiaPleeha splenomegalyGulma abdominal distentionGhritavyapat in indigestion caused by excess consumption of gheeGara visha chronic intoxication andPandu anemia",Ashtanga Hridaya,5,109
What are the therapeutic benefits of fresh Navanita butter according to Ayurveda?,"Fresh Navanita butter isVrushya aphrodisiac,Sheeta coolantVarna, bala, agnikrut improves skin complexion, strength and digestion strength.Sangrahi abosrbent, useful in diarrhoeaVatapittasruk jit balances Vata, Pitta and detoxifies blood",Ashtanga Hridaya,5,113
"I have been experiencing persistent cough, could this herbal remedy also help with that?",Useful inKshaya chronic respiratory disorders leading to emaciationArsha hemorrhoidsArdita vata paralysisKasa cough,Ashtanga Hridaya,5,114
What conditions does Purana Ghrita old ghee help treat according to Ayurveda?,"Purana Ghrita old ghee is used in the treatment ofMada intoxication,Apaspara epilepsy,Murcha fainting,Shira, karna, akshi yoni roga diseases of the head, ear, eye and vaginaOld ghee cleanses and heals wounds",Ashtanga Hridaya,5,123
Can consuming halfcooked molasses cause a slight imbalance in the three doshas due to its heavy nature and tendency to block secretions?,"Phanita half cooked molasses is heavy hard to digest, Abhisyandi increasing the secretionsin the tissues pores and blocking them, causes mild increase of Tridosha and cleanses the urineby increasing its quantity.",Ashtanga Hridaya,5,146
"What medication can help manage increased Vata, which might be beneficial for various diseases?",it is an efficient Vatahara drug mitigates the increased Vata and so very useful inmany diseases.,Ashtanga Hridaya,5,180
"Could the use of linseed Uma oil or Kusumbha oil aggravate skin issues, Kapha, and Pitta?","Taila of Uma linseed and Kusumbha are hot in potency, produce diseases of the skin, aggravateKapha and Pitta.",Ashtanga Hridaya,5,188
What does fresh wine do to the Doshas in the body?,"Fresh wine is hard to digest increases of all the Doshas, whereas old ones decreaseContra indication for wines Wine should not be consumed hot.It should not be consumed by person undergoing Virechana purgation panchakarma therapyIt should be avoided by hungry personWines which are very strong or very weak, which are very clear like water or very turbid andthose which are spoilt, should not be used for drinking",Ashtanga Hridaya,5,200
What conditions does Sura help with regarding the abdomen and digestive system?,"Sura is useful in abdominal tumors, enlargement of the abdomen, heamorrhoids, duodenaldiseases, is lubricating, hard to digest, mitigates Vata, causes increase of fat, blood, milk, urineand Kapha",Ashtanga Hridaya,5,203
"Does consuming Sura made from barley Hordeum vulgare lead to constipation and difficulty in digestion, and if so, does it also affect all three doshas?","Sura prepared from Yava Barley Hordeum vulgare barley causes constipation, is difficult todigest, nonunctuous and aggravates all the three Doshas",Ashtanga Hridaya,5,209
"Can Mardvika help with anaemia, diabetes, hemorrhoids, or intestinal parasites?","Mardvika wine prepared from grapes is scraping, good to the heart, not very hot in potency,sweet,Sara promotes natural movement of body fluids laxative, causes slight increase of Pitta andAnila Vata, useful in anaemia, diabetes, hemorrhoids and worms intestinal parasites",Ashtanga Hridaya,5,216
What food is difficult to digest and aggravates the Vata dosha?,"is inferior in properties than grapes, aggravates Vata, and hard for digestion",Ashtanga Hridaya,5,219
What doshas does Sidhu prepared from fermenting sugarcane juice affect?,"Sidhu prepared from fermenting sugarcane juice aggravates Vata and Pitta, decreaseslubrication and diseases of Kapha, obesity, dropsy, enlargement of the abdomen andhaemorrhoids that prepared by cooking sugarcane juice is best",Ashtanga Hridaya,5,229
What conditions is Sukta wine prepared from roots and tubers traditionally used for according to Ayurveda?,"Sukta wine prepared from roots and tubers increases the moisture of blood, Pitta and Kapha,expels Vata in downward directions, very hot in potency, is penetrating, causes dryness, sour,good to the heart, increases taste appetite, is Sara promotes bowel movements laxative,enhances hunger, is cold to touch, useful in anaemia, diseases of the eye and worms",Ashtanga Hridaya,5,235
"What is a decoction enema made from that aggravates Pitta, relieves fatigue and exhaustion, increases appetite, helps urinary bladder pain, benefits the heart, digests easily, and balances Vata and Kapha?","have been slightly cooked or merely washed is purgative, penetrating, hot in potency,aggravates Pitta, cold to touch, relieves fatigue and exhaustion, increases appetite and hunger,useful in pain of the urinary bladder, ideal for use as Asthapana decoction enema, good to theheart, easy to digest, balances Vata and Kapha.",Ashtanga Hridaya,5,242
"What properties does Yavaka, Haayana, Paamshu, Vashpa, Naishadha varieties of rice have according to Ayurveda?","Yavaka, Haayana, Paamshu, Vashpa, Naishadha varieties of rice areSvadu sweet,Ushna hot in potency,Guru hard to digest,Shleshmapittala increases Kapha and PittaSnigdha unctuous, oilyAmlapaka undergoes sour taste conversion after digestionSrushtamutrapureesha increases bulk and volume of faeces and urineThey are bad in their reverse order.",Ashtanga Hridaya,6,15
"What are the properties of this substance, according to Ayurveda?","It isSnigdha unctuous, oilyGrahi absorbent, useful in malabsorption syndrome and diarrheaLaghu light to digestSvadu sweetTridoshaghna balances all the three DoshasSthira brings in stabilityHima coolant",Ashtanga Hridaya,6,18
"What conditions might cause an increase in the volume of urine and faeces, a rise in body heat, and an imbalance of the three doshas?","It increases volume of urine and faeces, increases body heat and causes imbalanceof Tridosha",Ashtanga Hridaya,6,25
"What conditions is this treatment useful for, according to Ayurveda?",Useful inMutrameda urinary disorderPitta Kapha imbalance disorders,Ashtanga Hridaya,6,34
What are the properties of black gram according to Ayurveda?,"Black gram isSnigdha unctuous,Balya increases strength,increases kapha and PittaMalakara increases bulk of faeces,Sara laxative,Guru not easily digestible,Ushna hot in potency,Vatahara mitigate Vata,Madhura sweet in taste,shukra vruddhikara, Virekakrut increases semen and promotes ejaculation strength",Ashtanga Hridaya,6,62
I recently had Panchakarma therapy and Ive been experiencing issues with my throat and eyes. Is it appropriate for me to consume Mudgasupa soup of green gram as a treatment?,"Mudgasupa soup of green gram is good for health, for those who have undergonePanchakarma purification threrapies and for those suffering from ulcers, diseases of the throatand eyes",Ashtanga Hridaya,6,99
What conditions does Kulattha Supa horse gram soup help with according to Ayurveda?,"Kulattha Supa horse gram soup isVatanulomi initiates normal movement of VataUseful inGulma abdominal tumor, tuni and pratituni pains of the groin region 33",Ashtanga Hridaya,6,101
What foods might be harmful for my eyes according to Ayurveda?,"Eatables prepared from Tila sesamum, Pinyaka residue of sesamum after the oil is takenout, dried leafy vegetables, germinated grains, shaaki vaaka balls of fried rice dried in sunand then fried in oil are not good for eyes, increase the doshas, cause debility and are hard todigest",Ashtanga Hridaya,6,105
